memory_decay,memory_gain,predict_weight_phase_mean,predict_weight_centroid_mean,predict_weight_peak_mean,predict_weight_sum_mean,predict_bias,predict_variance,predict_mse,predict_rmse,predict_mae,predict_normalized_bias,predict_normalized_variance,predict_normalized_mse,predict_resonance_mse,predict_offresonance_mse,predict_resonance_concentration_ratio,predict_te_reference_mse,predict_te_family_tension,predict_te_weight_roughness,predict_te_total,predict_te_alpha_mean,predict_te_beta_mean,predict_te_gamma_mean,predict_te_adaptive_reference_mse,predict_te_adaptive_family_tension,predict_te_adaptive_weight_roughness,predict_te_adaptive_total
0.15,2.0,-0.488449203418906,-0.176853627432615,-0.4698185786555474,-1.1351214095070683,-0.0850358302388916,0.005638139449790357,0.012869231874207947,0.11344263693253938,0.09014451917212556,-0.5724438543669417,0.28107647274714054,0.6087684391496209,0.007157948849939305,0.01509028638364575,0.4743414848439725,0.012869231874207947,0.3935712252535113,0.1255613067344055,0.11754010352430605,1.2010358602157039,1.074186718548429,0.08626734271777513,0.015458413163269714,0.22103556721422415,0.012565406405158462,0.24905938678265227
0.2,0.0,-0.4449868093445148,-0.1894900972716244,-0.48188406929712896,-1.116360975913268,-0.07760122661879251,0.0064111856198968194,0.012433135992638013,0.11150397299037382,0.08711673830292117,-0.5907227761573699,0.29857269297861355,0.6475260912496836,0.0029027448652043193,0.016139399208862225,0.17985457994064658,0.012433135992638013,0.4134535193337869,0.14395384053623125,0.12299420785289629,1.2936434818273634,0.9725994169611275,0.08771661808009396,0.01525887627232264,0.18878770852296556,0.014506688689229854,0.21855327348451806
0.2,0.25,-0.4483028685974545,-0.19027065492841683,-0.48203729888205943,-1.1206108224079308,-0.07716718697847223,0.006359176233731188,0.01231395097990168,0.11096824311442297,0.0867687342842169,-0.5903148794848874,0.29028524765742836,0.6387569045986854,0.002878951694290929,0.01598311736875031,0.1801245419069352,0.01231395097990168,0.4145135397531176,0.14033233220406302,0.12295895252838424,1.2684957225104043,1.0001856238576792,0.08771661808009396,0.01477373217505297,0.2006748378209336,0.014169336619672618,0.2296179066156592
0.2,0.5,-0.4514656811530425,-0.1906221823430569,-0.4817326301742228,-1.1238204936703222,-0.07721326255803324,0.006273905037403807,0.012235792952259582,0.11061551858694865,0.08684492090683811,-0.5907101895171496,0.28394246466756023,0.6328809926669471,0.0029092703851647922,0.01586277395057422,0.18340237301682527,0.012235792952259582,0.4145793874065246,0.13695761541099116,0.1227285205744403,1.2507443629925505,1.0196582404905392,0.08771661808009396,0.014451827282678837,0.20880071235971503,0.013851596104774148,0.23710413574716804
0.2,0.75,-0.45447524701127934,-0.19054467951554396,-0.4809700631736192,-1.1259899897004424,-0.0776721934419744,0.0061684399806774025,0.012201409614764895,0.11045999101378243,0.08671303826599536,-0.5910282046152414,0.2805649604033643,0.6298792990540799,0.0030015473966011758,0.015779133810717452,0.1902225706814448,0.012201409614764895,0.4136513144759193,0.1338135612129634,0.1223049162943929,1.2375446341203005,1.034137878499589,0.08771661808009396,0.014255988761974427,0.21439636057210748,0.013552199852689151,0.24220454918677106
0.2,1.0,-0.45733156617216436,-0.19003814644587852,-0.47974959788024857,-1.1271193104982915,-0.07861138125095729,0.006040652230987783,0.012220401493171142,0.11054592481485304,0.08666992042031962,-0.5920943064295225,0.2791555501623735,0.6297312178686307,0.003189717336248372,0.015732334220863328,0.20274914653277262,0.012220401493171142,0.4117368800032969,0.13089473191218265,0.12169935808960448,1.2273448436281071,1.0453266896884004,0.08771661808009396,0.014181555859072532,0.21813670244174532,0.013270694245029437,0.24558895254584726
0.2,1.5,-0.46258446440188045,-0.18773798958009028,-0.475934972415206,-1.126257426397177,-0.08199791209511273,0.0057666531157499305,0.012490310703707763,0.11176005862430353,0.0883232246648895,-0.5966074867287693,0.2819435541079267,0.6378840473287453,0.004110597067719391,0.015749088228814354,0.2610053996775946,0.012490310703707763,0.40501569690040207,0.1257644534424488,0.12003245760093072,1.2126118129171615,1.0614883058500164,0.08771661808009396,0.01448497524974603,0.22152684497873718,0.01276360885671851,0.24877542908520173
0.2,2.0,-0.46722437584219106,-0.18372171174569157,-0.47028875377909557,-1.1212348413669782,-0.08717092567714746,0.0056764810649733,0.013275251348384065,0.11521827697194602,0.09159397856598504,-0.6037863952493737,0.2927437861589375,0.6573017972471706,0.0064930989521710765,0.01591275505802245,0.40804366864791064,0.013275251348384065,0.3946224476354789,0.1217371033445126,0.1180177184244794,1.2024828543033863,1.0725994169611275,0.08771661808009396,0.015737247628396983,0.220835001525638,0.012342984461877508,0.24891523361591247
0.3,0.0,-0.44573217104711477,-0.20732434490457868,-0.48241995870656923,-1.1354764746582626,-0.08127696208228587,0.006532953417890759,0.013138897983216094,0.11462503209690322,0.08993589632695553,-0.619070512269965,0.30380920698325026,0.6870575061454471,0.0031125767802341092,0.017038022895486865,0.18268415292824777,0.013138897983216094,0.41171330761134584,0.1364381627171625,0.12288913302191068,1.2936434818273634,0.9725994169611275,0.09028072064419651,0.016151642403124587,0.18825712288641885,0.01405604671348873,0.21846481200303214
0.3,0.25,-0.4452838453716742,-0.20777240683331058,-0.48263069784827595,-1.1356869500532607,-0.08082498896320217,0.006527039137746532,0.013059717978648286,0.11427912310937761,0.09008744383272493,-0.621164447012192,0.297483351326966,0.6833286215589284,0.0030243244209471024,0.016962371028865414,0.1782960893733849,0.013059717978648286,0.4133520212384257,0.13309684427188972,0.12305256550184919,1.2701181585953694,0.9984058685740307,0.09028072064419651,0.015698352673536257,0.19958322181916852,0.013734900667659398,0.22901647516036422
