memory_decay,memory_gain,baseline_predict_te_adaptive_total,baseline_predict_te_adaptive_reference_mse,baseline_predict_te_adaptive_family_tension,baseline_predict_te_adaptive_weight_roughness,robust_te_adaptive_total_mean,robust_te_adaptive_total_std,robust_te_adaptive_reference_mse_mean,robust_te_adaptive_family_tension_mean,robust_te_adaptive_weight_roughness_mean,robust_rmse_mean,robust_rmse_std,robust_bias_mean,robust_weight_phase_mean,robust_weight_centroid_mean,robust_weight_peak_mean,robust_te_ratio_mean,robust_te_ratio_std,local_band_survival_rate,global_band_survival_rate
0.05,1.0,0.2479089957622785,0.012957652762785188,0.22093017672276613,0.014021166276727219,0.24941246938278983,0.010546697846163184,0.014928512896886974,0.2199788140139689,0.014505142471933944,0.11095191063485778,0.005107126814575809,-0.07539186702109435,-0.5084089424564363,-0.1698959170336558,-0.47948153510300173,1.0060646190586524,0.042542618567486284,0.75,0.9166666666666666
0.05,1.5,0.25119499658461925,0.014094581578107931,0.22359414280123946,0.013506272205271846,0.2499792724483024,0.00674364568318579,0.016773204853659754,0.21906631620717668,0.01413975138746596,0.11549231429969294,0.006434329077347224,-0.08425433781159371,-0.5287608349784144,-0.16499970081555923,-0.4757212114683382,0.995160237453586,0.026846257986329267,0.9583333333333334,1.0
0.05,2.0,0.2518854234216562,0.016692483169564926,0.22210890880750483,0.013084031444586381,0.251433027375963,0.008260646685507488,0.020113814054766605,0.2175430442404811,0.013776169080715365,0.12440037050527014,0.00788378570537318,-0.09315370757619994,-0.5443977650822139,-0.16258362282159863,-0.4713572851964718,0.9982039609932652,0.03279525497463647,0.8333333333333334,0.9166666666666666
0.1,0.0,0.2187223594969866,0.013924893012859516,0.18976646358618016,0.015031002897946915,0.22377649863675586,0.008944656179988754,0.016526242390236867,0.1917984987243949,0.015451757522124118,0.1136941809952101,0.0055905526316239445,-0.07395158862485239,-0.4592360693392797,-0.1724832448356862,-0.4811702142277225,1.0231075558593674,0.040895024178412766,0.7083333333333334,0.8333333333333334
0.1,0.25,0.23053145230214755,0.013486943230356622,0.2023629985585295,0.014681510513261435,0.22922940614739787,0.0077080923478325064,0.01598418068300461,0.19815375016900408,0.01509147529538917,0.11251786071743979,0.005453828969067895,-0.0742521899042564,-0.46634426615072705,-0.17194435154843735,-0.4785740886921726,0.9943519804271951,0.03343618526173966,0.7916666666666666,0.9583333333333334
0.1,0.5,0.23824677689299706,0.013215915253149682,0.21067747291894365,0.014353388720903734,0.23834646348839295,0.0076255535828276,0.016067392677990663,0.20744550665312808,0.014833564157274206,0.11368949270301282,0.004017225842959937,-0.0752143170886335,-0.4718107797807436,-0.17216864345015281,-0.480331914114042,1.0004184173934938,0.032006953807616194,0.8333333333333334,1.0
0.1,0.75,0.243340248239505,0.013074230406803927,0.21622072485572044,0.014045292976980648,0.24449254169873624,0.0076321419061753625,0.015550886451549338,0.21387250669954896,0.015069148547637948,0.1126205789155369,0.004324412661494821,-0.07555521979566736,-0.48113908165384917,-0.17525358621324036,-0.48177299283268665,1.0047353180066503,0.03136407545151969,0.9166666666666666,1.0
0.1,1.0,0.24663357648674128,0.013088042085888823,0.21978887438751232,0.013756660013340156,0.2459987560503547,0.006711052643979994,0.01548805432033302,0.21633285806797442,0.014177843662047288,0.11271125583530761,0.004981415418055959,-0.07693032569815607,-0.487348945498342,-0.17616110579857155,-0.48084586399056534,0.9974260583435983,0.027210620466109874,0.9166666666666666,1.0
0.1,1.5,0.24961178372745935,0.013687968964926077,0.22268437902952853,0.013239435733004725,0.2479759625199228,0.006798501774768332,0.016024528791957256,0.21786789628028513,0.014083537447680448,0.11411992876853183,0.006783808932316526,-0.08261231649052503,-0.5012982090362054,-0.1747319258188729,-0.4761887311614392,0.9934465385283145,0.027236301400703617,0.9166666666666666,1.0
0.1,2.0,0.24977185321262957,0.015509068968431999,0.2214499489946931,0.012812835249504542,0.25100682467530505,0.005513487061248567,0.018433882484463468,0.21939567218836206,0.013177270002479516,0.12010145370605306,0.007000248503121435,-0.08721372991675984,-0.515466723563364,-0.16761656364532793,-0.47146850410152474,1.0049443980448196,0.022074092778400316,1.0,1.0
0.15,0.0,0.218621289009827,0.014641538725121006,0.18921563847570932,0.014764111808996632,0.22235302053612813,0.0059813570379025245,0.017424192120693845,0.1894490678451052,0.015479760570329093,0.11688487080601058,0.005544288102157844,-0.07874583614615938,-0.45256115065241725,-0.18150270986046058,-0.4794270257325672,1.0170693876301014,0.02735944456732967,0.9166666666666666,0.9166666666666666
0.15,0.25,0.23001672977186782,0.01416073412295348,0.20143627986578072,0.014419715783133624,0.2278461935072166,0.00764938725681523,0.015900908409873366,0.19677073758275324,0.015174547514589973,0.11331245506756517,0.0046657937508450195,-0.0787486326946692,-0.45790736241659574,-0.17982733594785463,-0.4791540922915853,0.9905635721940573,0.03325578650040779,0.875,0.9583333333333334
