memory_decay,memory_gain,trial,effective_memory_gain,detuning_shift,perturb_noise_sigma_frac,perturb_weight_jitter_sigma,perturb_te_adaptive_total,perturb_te_adaptive_reference_mse,perturb_te_adaptive_family_tension,perturb_te_adaptive_weight_roughness,perturb_rmse,perturb_mse,perturb_bias,perturb_weight_phase_mean,perturb_weight_centroid_mean,perturb_weight_peak_mean,baseline_predict_te_adaptive_total,te_ratio_to_baseline,within_local_band,within_global_band
0.0,0.5,23,0.5880366665550215,-0.050234181786231596,0.03,0.035,0.24314027949628797,0.01366866014727352,0.213216270648702,0.01625534870031249,0.10802211593138046,0.0116687775302926,-0.0721148635416465,-0.50758588271282,-0.1563729072354275,-0.47870954211881317,0.24143703505754366,1.0070546113123795,1,1
0.0,0.75,0,0.7463797372015128,-0.024493013531107527,0.03,0.035,0.24608531161632713,0.014729268844695038,0.21727838990520643,0.014077652866425707,0.11303767269159637,0.012777515447532473,-0.08254564920826453,-0.5207839996452129,-0.16472740918515488,-0.47584660894785474,0.2475055232062941,0.9942618994050357,1,1
0.0,0.75,1,0.49357487070149303,-0.009758678505614782,0.03,0.035,0.2420979492957936,0.014432225180831917,0.21205111945395905,0.015614604661002625,0.1096216378614702,0.012016903487431316,-0.07904244741357896,-0.5173308300937429,-0.16494589656018277,-0.48149332134727296,0.2475055232062941,0.9781517040894747,1,1
0.0,0.75,2,0.6002416653094543,0.10263216493020413,0.03,0.035,0.24027600956290265,0.019309663921415598,0.20640565801406027,0.014560687627426802,0.12409065387346782,0.015398490378744793,-0.09019774303825047,-0.5230955778302616,-0.16350029509321037,-0.4908032641611635,0.2475055232062941,0.9707904957039456,1,1
0.0,0.75,3,0.6285306232458076,0.2052434405745861,0.03,0.035,0.2505214687904066,0.016146315334778293,0.21925259350672277,0.015122559948905495,0.1156328174247332,0.013370948465581683,-0.0773929164750495,-0.5103803198331908,-0.15824515966927463,-0.47719409767767634,0.2475055232062941,1.0121853667952239,1,1
0.0,0.75,4,0.8006906418203809,-0.023540231863051615,0.03,0.035,0.2495844529885652,0.014380582581321832,0.21900935254254414,0.0161945178646992,0.11163465494207814,0.012462296184036851,-0.08131657959337835,-0.5111843618749413,-0.15704564896338036,-0.46915678339316746,0.2475055232062941,1.0083995288482444,1,1
0.0,0.75,5,0.7729121268594964,0.16021321647888742,0.03,0.035,0.2592216969924549,0.01716256450336107,0.2273781667346243,0.014680965754469519,0.11775755602404545,0.013866842000756203,-0.07210832343729699,-0.5324128558059231,-0.15471741550723148,-0.49450541786150837,0.2475055232062941,1.0473370195314609,1,1
0.0,0.75,6,0.7561835166596549,-0.03510966097944139,0.03,0.035,0.24321983286690865,0.016368128499097932,0.21220900944213772,0.014642694925673015,0.11454078709387988,0.01311959190808552,-0.08526863376506844,-0.5208284777062119,-0.14196529505521138,-0.47840113430311176,0.2475055232062941,0.9826844658500273,1,1
0.0,0.75,7,0.8859317293031913,0.0439546206303181,0.03,0.035,0.25199149227226064,0.015719068047442858,0.22097170842038366,0.015300715804434135,0.11615735448396748,0.01349253100071408,-0.08369060255593565,-0.5274850091867209,-0.17631381065472518,-0.47579535506198717,0.2475055232062941,1.0181247230682102,1,1
0.0,0.75,8,0.7298649663568637,0.03657082905661013,0.03,0.035,0.25161700353232447,0.018918437928866178,0.2186236527352686,0.014074912868189746,0.1212512460207094,0.014701864661574597,-0.0795269576813663,-0.5245596982881415,-0.16742600366268157,-0.4827587583871889,0.2475055232062941,1.016611671015533,1,1
